objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll039,lifta_132.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797633 N,35.196731 E,,,Image;StillImage,image/jpeg,,,
coll040,lifta_133.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797608 N,35.196514 E,,,Image;StillImage,image/jpeg,,,
coll041,lifta_134.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797669 N,35.196633 E,,,Image;StillImage,image/jpeg,,,
coll042,lifta_135.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797725 N,35.196644 E,,,Image;StillImage,image/jpeg,,,
coll043,lifta_136.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797392 N,35.196106 E,,,Image;StillImage,image/jpeg,,,
coll044,lifta_137.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797586 N,35.196536 E,,,Image;StillImage,image/jpeg,,,
coll045,lifta_138.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797589 N,35.196808 E,,,Image;StillImage,image/jpeg,,,
coll046,lifta_139.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797464 N,35.196608 E,,,Image;StillImage,image/jpeg,,,
coll047,lifta_14.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.800033 N,35.198906 E,,,Image;StillImage,image/jpeg,,,
coll048,lifta_140.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797433 N,35.196678 E,,,Image;StillImage,image/jpeg,,,
coll049,lifta_141.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797108 N,35.196747 E,,,Image;StillImage,image/jpeg,,,
coll050,lifta_142.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797403 N,35.196675 E,,,Image;StillImage,image/jpeg,,,
coll051,lifta_143.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797200 N,35.196761 E,,,Image;StillImage,image/jpeg,,,
coll052,lifta_144.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.798753 N,35.197006 E,,,Image;StillImage,image/jpeg,,,
coll053,lifta_145.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797419 N,35.192939 E,,,Image;StillImage,image/jpeg,,,
coll054,lifta_146.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797117 N,35.196658 E,,,Image;StillImage,image/jpeg,,,
coll055,lifta_147.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797225 N,35.196700 E,,,Image;StillImage,image/jpeg,,,
coll056,lifta_148.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797153 N,35.196586 E,,,Image;StillImage,image/jpeg,,,
coll057,lifta_149.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797031 N,35.196247 E,,,Image;StillImage,image/jpeg,,,
coll058,lifta_15.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799867 N,35.199242 E,,,Image;StillImage,image/jpeg,,,
coll059,lifta_150.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797114 N,35.196586 E,,,Image;StillImage,image/jpeg,,,
coll060,lifta_151.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797067 N,35.196656 E,,,Image;StillImage,image/jpeg,,,
coll061,lifta_152.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797133 N,35.196553 E,,,Image;StillImage,image/jpeg,,,
coll062,lifta_153.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797131 N,35.196392 E,,,Image;StillImage,image/jpeg,,,
coll063,lifta_154.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797117 N,35.196469 E,,,Image;StillImage,image/jpeg,,,
coll064,lifta_155.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797100 N,35.196381 E,,,Image;StillImage,image/jpeg,,,
coll065,lifta_156.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797108 N,35.196400 E,,,Image;StillImage,image/jpeg,,,
coll066,lifta_157.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797108 N,35.196411 E,,,Image;StillImage,image/jpeg,,,
coll067,lifta_158.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797169 N,35.196378 E,,,Image;StillImage,image/jpeg,,,
coll068,lifta_159.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797175 N,35.196358 E,,,Image;StillImage,image/jpeg,,,
coll069,lifta_16.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799928 N,35.198917 E,,,Image;StillImage,image/jpeg,,,
coll070,lifta_160.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797175 N,35.196353 E,,,Image;StillImage,image/jpeg,,,
coll071,lifta_161.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797183 N,35.196350 E,,,Image;StillImage,image/jpeg,,,
coll072,lifta_162.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797236 N,35.196217 E,,,Image;StillImage,image/jpeg,,,
coll073,lifta_163.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797236 N,35.196217 E,,,Image;StillImage,image/jpeg,,,
coll074,lifta_164.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797231 N,35.196208 E,,,Image;StillImage,image/jpeg,,,
coll075,lifta_165.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797219 N,35.196197 E,,,Image;StillImage,image/jpeg,,,
coll076,lifta_166.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797389 N,35.196136 E,,,Image;StillImage,image/jpeg,,,
coll077,lifta_167.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797272 N,35.196053 E,,,Image;StillImage,image/jpeg,,,
coll078,lifta_168.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797225 N,35.196183 E,,,Image;StillImage,image/jpeg,,,
coll079,lifta_169.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797172 N,35.196197 E,,,Image;StillImage,image/jpeg,,,
coll080,lifta_17.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799686 N,35.198247 E,,,Image;StillImage,image/jpeg,,,
coll081,lifta_170.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797147 N,35.195942 E,,,Image;StillImage,image/jpeg,,,
coll082,lifta_171.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797019 N,35.196194 E,,,Image;StillImage,image/jpeg,,,
coll083,lifta_172.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796989 N,35.196094 E,,,Image;StillImage,image/jpeg,,,
coll084,lifta_173.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797000 N,35.196050 E,,,Image;StillImage,image/jpeg,,,
coll085,lifta_174.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797000 N,35.196050 E,,,Image;StillImage,image/jpeg,,,
coll086,lifta_175.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797000 N,35.196050 E,,,Image;StillImage,image/jpeg,,,
coll087,lifta_176.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797000 N,35.196050 E,,,Image;StillImage,image/jpeg,,,
coll088,lifta_177.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797011 N,35.196403 E,,,Image;StillImage,image/jpeg,,,
coll089,lifta_178.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797103 N,35.196081 E,,,Image;StillImage,image/jpeg,,,
coll090,lifta_179.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797017 N,35.196050 E,,,Image;StillImage,image/jpeg,,,
coll091,lifta_18.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799703 N,35.198519 E,,,Image;StillImage,image/jpeg,,,
coll092,lifta_180.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.797017 N,35.196050 E,,,Image;StillImage,image/jpeg,,,
coll093,lifta_181.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796878 N,35.196072 E,,,Image;StillImage,image/jpeg,,,
coll094,lifta_182.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796878 N,35.196092 E,,,Image;StillImage,image/jpeg,,,
coll095,lifta_183.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796775 N,35.195961 E,,,Image;StillImage,image/jpeg,,,
coll096,lifta_184.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796775 N,35.195961 E,,,Image;StillImage,image/jpeg,,,
coll097,lifta_185.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796800 N,35.195972 E,,,Image;StillImage,image/jpeg,,,
coll098,lifta_186.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796694 N,35.195889 E,,,Image;StillImage,image/jpeg,,,
coll099,lifta_187.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796622 N,35.195922 E,,,Image;StillImage,image/jpeg,,,
coll100,lifta_188.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796631 N,35.195928 E,,,Image;StillImage,image/jpeg,,,
coll101,lifta_189.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796567 N,35.195800 E,,,Image;StillImage,image/jpeg,,,
coll102,lifta_19.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799519 N,35.198281 E,,,Image;StillImage,image/jpeg,,,
coll103,lifta_190.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796661 N,35.195992 E,,,Image;StillImage,image/jpeg,,,
coll104,lifta_191.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796731 N,35.195633 E,,,Image;StillImage,image/jpeg,,,
coll105,lifta_192.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796631 N,35.195911 E,,,Image;StillImage,image/jpeg,,,
coll106,lifta_193.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796575 N,35.195911 E,,,Image;StillImage,image/jpeg,,,
coll107,lifta_194.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796589 N,35.195914 E,,,Image;StillImage,image/jpeg,,,
coll108,lifta_195.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796447 N,35.195714 E,,,Image;StillImage,image/jpeg,,,
coll109,lifta_196.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796517 N,35.195828 E,,,Image;StillImage,image/jpeg,,,
coll110,lifta_197.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796517 N,35.195828 E,,,Image;StillImage,image/jpeg,,,
coll111,lifta_198.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796678 N,35.195867 E,,,Image;StillImage,image/jpeg,,,
coll112,lifta_199.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796808 N,35.195842 E,,,Image;StillImage,image/jpeg,,,
coll113,lifta_2.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",,,,,Image;StillImage,image/jpeg,,,
coll114,lifta_20.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799361 N,35.198078 E,,,Image;StillImage,image/jpeg,,,
coll115,lifta_200.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796458 N,35.195797 E,,,Image;StillImage,image/jpeg,,,
coll116,lifta_201.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796183 N,35.195867 E,,,Image;StillImage,image/jpeg,,,
coll117,lifta_202.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796128 N,35.196006 E,,,Image;StillImage,image/jpeg,,,
coll118,lifta_203.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796183 N,35.195869 E,,,Image;StillImage,image/jpeg,,,
coll119,lifta_204.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796194 N,35.195842 E,,,Image;StillImage,image/jpeg,,,
coll120,lifta_205.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796233 N,35.195867 E,,,Image;StillImage,image/jpeg,,,
coll121,lifta_206.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796228 N,35.195839 E,,,Image;StillImage,image/jpeg,,,
coll122,lifta_207.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796203 N,35.195825 E,,,Image;StillImage,image/jpeg,,,
coll123,lifta_208.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796225 N,35.195831 E,,,Image;StillImage,image/jpeg,,,
coll124,lifta_209.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796225 N,35.195831 E,,,Image;StillImage,image/jpeg,,,
coll125,lifta_21.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799419 N,35.197650 E,,,Image;StillImage,image/jpeg,,,
coll126,lifta_210.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796214 N,35.195842 E,,,Image;StillImage,image/jpeg,,,
coll127,lifta_211.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796069 N,35.196025 E,,,Image;StillImage,image/jpeg,,,
coll128,lifta_212.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796617 N,35.195975 E,,,Image;StillImage,image/jpeg,,,
coll129,lifta_213.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795875 N,35.195992 E,,,Image;StillImage,image/jpeg,,,
coll130,lifta_214.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.795978 N,35.196197 E,,,Image;StillImage,image/jpeg,,,
coll131,lifta_215.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796333 N,35.196286 E,,,Image;StillImage,image/jpeg,,,
coll132,lifta_216.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796344 N,35.196286 E,,,Image;StillImage,image/jpeg,,,
coll133,lifta_217.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796458 N,35.196183 E,,,Image;StillImage,image/jpeg,,,
coll134,lifta_218.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796208 N,35.196286 E,,,Image;StillImage,image/jpeg,,,
coll135,lifta_219.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.796275 N,35.196258 E,,,Image;StillImage,image/jpeg,,,
coll136,lifta_22.jpg,,Jeff O'Brien,,,,"Lifta, Palestine",31.799244 N,35.197978 E,,,Image;StillImage,image/jpeg,,,
