objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll002,lifta_1.jpg,lifta_1.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",,,,lifta_1.jpg,Image;StillImage,image/jpeg,,,
coll003,lifta_10.jpg,lifta_10.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.800219,35.199619,,lifta_10.jpg,Image;StillImage,image/jpeg,,,
coll004,lifta_100.jpg,lifta_100.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.7975,35.196756,,lifta_100.jpg,Image;StillImage,image/jpeg,,,
coll005,lifta_101.jpg,lifta_101.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,lifta_101.jpg,Image;StillImage,image/jpeg,,,
coll006,lifta_102.jpg,lifta_102.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,lifta_102.jpg,Image;StillImage,image/jpeg,,,
coll007,lifta_103.jpg,lifta_103.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,lifta_103.jpg,Image;StillImage,image/jpeg,,,
coll008,lifta_104.jpg,lifta_104.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,lifta_104.jpg,Image;StillImage,image/jpeg,,,
coll009,lifta_105.jpg,lifta_105.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,lifta_105.jpg,Image;StillImage,image/jpeg,,,
coll010,lifta_106.jpg,lifta_106.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,lifta_106.jpg,Image;StillImage,image/jpeg,,,
coll011,lifta_107.jpg,lifta_107.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,lifta_107.jpg,Image;StillImage,image/jpeg,,,
coll012,lifta_108.jpg,lifta_108.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,lifta_108.jpg,Image;StillImage,image/jpeg,,,
coll013,lifta_109.jpg,lifta_109.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797433,35.196792,,lifta_109.jpg,Image;StillImage,image/jpeg,,,
coll014,lifta_11.jpg,lifta_11.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.80025,35.199036,,lifta_11.jpg,Image;StillImage,image/jpeg,,,
coll015,lifta_110.jpg,lifta_110.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797383,35.196819,,lifta_110.jpg,Image;StillImage,image/jpeg,,,
coll016,lifta_111.jpg,lifta_111.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797417,35.196828,,lifta_111.jpg,Image;StillImage,image/jpeg,,,
coll017,lifta_112.jpg,lifta_112.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797417,35.196828,,lifta_112.jpg,Image;StillImage,image/jpeg,,,
coll018,lifta_113.jpg,lifta_113.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797681,35.197261,,lifta_113.jpg,Image;StillImage,image/jpeg,,,
coll019,lifta_114.jpg,lifta_114.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797631,35.196531,,lifta_114.jpg,Image;StillImage,image/jpeg,,,
coll020,lifta_115.jpg,lifta_115.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797631,35.196531,,lifta_115.jpg,Image;StillImage,image/jpeg,,,
coll021,lifta_116.jpg,lifta_116.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797619,35.196522,,lifta_116.jpg,Image;StillImage,image/jpeg,,,
coll022,lifta_117.jpg,lifta_117.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797706,35.196531,,lifta_117.jpg,Image;StillImage,image/jpeg,,,
coll023,lifta_118.jpg,lifta_118.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797628,35.196606,,lifta_118.jpg,Image;StillImage,image/jpeg,,,
coll024,lifta_119.jpg,lifta_119.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797619,35.196592,,lifta_119.jpg,Image;StillImage,image/jpeg,,,
coll025,lifta_12.jpg,lifta_12.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.800214,35.198914,,lifta_12.jpg,Image;StillImage,image/jpeg,,,
coll026,lifta_120.jpg,lifta_120.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797619,35.196592,,lifta_120.jpg,Image;StillImage,image/jpeg,,,
coll027,lifta_121.jpg,lifta_121.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797506,35.196644,,lifta_121.jpg,Image;StillImage,image/jpeg,,,
coll028,lifta_122.jpg,lifta_122.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797419,35.196742,,lifta_122.jpg,Image;StillImage,image/jpeg,,,
coll029,lifta_123.jpg,lifta_123.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797444,35.196669,,lifta_123.jpg,Image;StillImage,image/jpeg,,,
coll030,lifta_124.jpg,lifta_124.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797475,35.196625,,lifta_124.jpg,Image;StillImage,image/jpeg,,,
coll031,lifta_125.jpg,lifta_125.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.79745,35.196653,,lifta_125.jpg,Image;StillImage,image/jpeg,,,
