objectid,filename,title,creator,date,description,subject,location,latitude,longitude,collection,identifier,type,format,language,rights,rightsstatement
coll139,lifta_222.jpg,lifta_222.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.796147,35.196147,,136,Image;StillImage,image/jpeg,,,
coll140,lifta_223.jpg,lifta_223.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.796214,35.196169,,137,Image;StillImage,image/jpeg,,,
coll141,lifta_224.jpg,lifta_224.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.796247,35.196169,,138,Image;StillImage,image/jpeg,,,
coll142,lifta_225.jpg,lifta_225.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.796297,35.196186,,139,Image;StillImage,image/jpeg,,,
coll143,lifta_226.jpg,lifta_226.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.796289,35.196169,,140,Image;StillImage,image/jpeg,,,
coll144,lifta_227.jpg,lifta_227.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.796275,35.196133,,141,Image;StillImage,image/jpeg,,,
coll145,lifta_228.jpg,lifta_228.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.796275,35.196133,,142,Image;StillImage,image/jpeg,,,
coll146,lifta_229.jpg,lifta_229.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.796275,35.196133,,143,Image;StillImage,image/jpeg,,,
coll147,lifta_23.jpg,lifta_23.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.799292,35.197881,,144,Image;StillImage,image/jpeg,,,
coll149,lifta_231.jpg,lifta_231.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.796969,35.196306,,146,Image;StillImage,image/jpeg,,,
coll151,lifta_233.jpg,lifta_233.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.798694,35.196736,,148,Image;StillImage,image/jpeg,,,
coll152,lifta_234.jpg,lifta_234.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795781,35.195939,,149,Image;StillImage,image/jpeg,,,
coll153,lifta_235.jpg,lifta_235.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795839,35.196044,,150,Image;StillImage,image/jpeg,,,
coll154,lifta_236.jpg,lifta_236.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795619,35.196169,,151,Image;StillImage,image/jpeg,,,
coll155,lifta_237.jpg,lifta_237.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.79555,35.195939,,152,Image;StillImage,image/jpeg,,,
coll156,lifta_238.jpg,lifta_238.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795625,35.195975,,153,Image;StillImage,image/jpeg,,,
coll157,lifta_239.jpg,lifta_239.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795703,35.196025,,154,Image;StillImage,image/jpeg,,,
coll158,lifta_24.jpg,lifta_24.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.799197,35.197758,,155,Image;StillImage,image/jpeg,,,
coll159,lifta_240.jpg,lifta_240.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795703,35.196025,,156,Image;StillImage,image/jpeg,,,
coll160,lifta_241.jpg,lifta_241.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795758,35.196086,,157,Image;StillImage,image/jpeg,,,
coll161,lifta_242.jpg,lifta_242.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795758,35.196086,,158,Image;StillImage,image/jpeg,,,
coll162,lifta_243.jpg,lifta_243.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795844,35.196122,,159,Image;StillImage,image/jpeg,,,
coll163,lifta_244.jpg,lifta_244.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795844,35.196122,,160,Image;StillImage,image/jpeg,,,
coll164,lifta_245.jpg,lifta_245.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.796194,35.196208,,161,Image;StillImage,image/jpeg,,,
coll165,lifta_246.jpg,lifta_246.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795794,35.196306,,162,Image;StillImage,image/jpeg,,,
coll166,lifta_247.jpg,lifta_247.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795536,35.196031,,163,Image;StillImage,image/jpeg,,,
coll167,lifta_248.jpg,lifta_248.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795397,35.196231,,164,Image;StillImage,image/jpeg,,,
coll168,lifta_249.jpg,lifta_249.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795394,35.196189,,165,Image;StillImage,image/jpeg,,,
coll169,lifta_25.jpg,lifta_25.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.799606,35.197842,,166,Image;StillImage,image/jpeg,,,
coll170,lifta_250.jpg,lifta_250.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795525,35.196281,,167,Image;StillImage,image/jpeg,,,
coll171,lifta_251.jpg,lifta_251.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795419,35.196317,,168,Image;StillImage,image/jpeg,,,
coll172,lifta_252.jpg,lifta_252.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795561,35.1963,,169,Image;StillImage,image/jpeg,,,
coll173,lifta_253.jpg,lifta_253.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795575,35.196292,,170,Image;StillImage,image/jpeg,,,
coll174,lifta_254.jpg,lifta_254.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795503,35.196342,,171,Image;StillImage,image/jpeg,,,
coll175,lifta_255.jpg,lifta_255.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795422,35.196397,,172,Image;StillImage,image/jpeg,,,
coll176,lifta_256.jpg,lifta_256.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795456,35.196372,,173,Image;StillImage,image/jpeg,,,
coll177,lifta_257.jpg,lifta_257.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795531,35.196389,,174,Image;StillImage,image/jpeg,,,
coll178,lifta_258.jpg,lifta_258.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795314,35.196289,,175,Image;StillImage,image/jpeg,,,
coll179,lifta_259.jpg,lifta_259.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795092,35.196292,,176,Image;StillImage,image/jpeg,,,
coll180,lifta_26.jpg,lifta_26.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.799472,35.198258,,177,Image;StillImage,image/jpeg,,,
coll181,lifta_260.jpg,lifta_260.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795203,35.196189,,178,Image;StillImage,image/jpeg,,,
coll182,lifta_261.jpg,lifta_261.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795269,35.196144,,179,Image;StillImage,image/jpeg,,,
coll183,lifta_262.jpg,lifta_262.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795125,35.196208,,180,Image;StillImage,image/jpeg,,,
coll184,lifta_263.jpg,lifta_263.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795064,35.196267,,181,Image;StillImage,image/jpeg,,,
coll185,lifta_264.jpg,lifta_264.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795028,35.196297,,182,Image;StillImage,image/jpeg,,,
coll186,lifta_265.jpg,lifta_265.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794922,35.196336,,183,Image;StillImage,image/jpeg,,,
coll187,lifta_266.jpg,lifta_266.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794611,35.19635,,184,Image;StillImage,image/jpeg,,,
coll188,lifta_267.jpg,lifta_267.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794475,35.196697,,185,Image;StillImage,image/jpeg,,,
coll189,lifta_268.jpg,lifta_268.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794344,35.196372,,186,Image;StillImage,image/jpeg,,,
coll190,lifta_269.jpg,lifta_269.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794486,35.196428,,187,Image;StillImage,image/jpeg,,,
coll191,lifta_27.jpg,lifta_27.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.799094,35.197389,,188,Image;StillImage,image/jpeg,,,
coll192,lifta_270.jpg,lifta_270.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794364,35.196464,,189,Image;StillImage,image/jpeg,,,
coll193,lifta_271.jpg,lifta_271.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794442,35.196197,,190,Image;StillImage,image/jpeg,,,
coll194,lifta_272.jpg,lifta_272.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794461,35.196186,,191,Image;StillImage,image/jpeg,,,
coll195,lifta_273.jpg,lifta_273.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794461,35.196178,,192,Image;StillImage,image/jpeg,,,
coll196,lifta_274.jpg,lifta_274.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794617,35.198936,,193,Image;StillImage,image/jpeg,,,
coll197,lifta_275.jpg,lifta_275.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794481,35.1959,,194,Image;StillImage,image/jpeg,,,
coll198,lifta_276.jpg,lifta_276.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794528,35.195911,,195,Image;StillImage,image/jpeg,,,
coll199,lifta_277.jpg,lifta_277.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794589,35.195856,,196,Image;StillImage,image/jpeg,,,
coll200,lifta_278.jpg,lifta_278.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794531,35.197072,,197,Image;StillImage,image/jpeg,,,
coll201,lifta_279.jpg,lifta_279.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794517,35.195889,,198,Image;StillImage,image/jpeg,,,
coll202,lifta_28.jpg,lifta_28.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.798819,35.197258,,199,Image;StillImage,image/jpeg,,,
coll203,lifta_280.jpg,lifta_280.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794497,35.195842,,200,Image;StillImage,image/jpeg,,,
coll204,lifta_281.jpg,lifta_281.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.794,35.197175,,201,Image;StillImage,image/jpeg,,,
coll205,lifta_282.jpg,lifta_282.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.793783,35.197411,,202,Image;StillImage,image/jpeg,,,
coll206,lifta_283.jpg,lifta_283.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.793756,35.197344,,203,Image;StillImage,image/jpeg,,,
coll207,lifta_284.jpg,lifta_284.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797389,35.192669,,204,Image;StillImage,image/jpeg,,,
coll208,lifta_285.jpg,lifta_285.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.793614,35.197692,,205,Image;StillImage,image/jpeg,,,
coll209,lifta_286.jpg,lifta_286.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.792964,35.197739,,206,Image;StillImage,image/jpeg,,,
coll210,lifta_287.jpg,lifta_287.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.792258,35.198075,,207,Image;StillImage,image/jpeg,,,
coll211,lifta_288.jpg,lifta_288.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.792156,35.198147,,208,Image;StillImage,image/jpeg,,,
coll213,lifta_29.jpg,lifta_29.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.798764,35.197361,,210,Image;StillImage,image/jpeg,,,
coll214,lifta_290.jpg,lifta_290.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.791919,35.196911,,211,Image;StillImage,image/jpeg,,,
coll217,lifta_293.jpg,lifta_293.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.793664,35.19745,,214,Image;StillImage,image/jpeg,,,
coll218,lifta_294.jpg,lifta_294.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.793683,35.197403,,215,Image;StillImage,image/jpeg,,,
coll220,lifta_296.jpg,lifta_296.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795764,35.19595,,217,Image;StillImage,image/jpeg,,,
coll221,lifta_297.jpg,lifta_297.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795847,35.195911,,218,Image;StillImage,image/jpeg,,,
coll222,lifta_298.jpg,lifta_298.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.795428,35.196228,,219,Image;StillImage,image/jpeg,,,
coll223,lifta_299.jpg,lifta_299.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.793314,35.197711,,220,Image;StillImage,image/jpeg,,,
coll225,lifta_30.jpg,lifta_30.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.798764,35.197361,,222,Image;StillImage,image/jpeg,,,
coll226,lifta_300.jpg,lifta_300.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797297,35.196036,,223,Image;StillImage,image/jpeg,,,
coll227,lifta_301.jpg,lifta_301.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797297,35.196361,,224,Image;StillImage,image/jpeg,,,
coll228,lifta_302.jpg,lifta_302.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797456,35.196586,,225,Image;StillImage,image/jpeg,,,
coll229,lifta_303.jpg,lifta_303.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797461,35.196517,,226,Image;StillImage,image/jpeg,,,
coll230,lifta_304.jpg,lifta_304.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797628,35.196633,,227,Image;StillImage,image/jpeg,,,
coll231,lifta_305.jpg,lifta_305.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797619,35.196689,,228,Image;StillImage,image/jpeg,,,
coll232,lifta_306.jpg,lifta_306.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797792,35.19645,,229,Image;StillImage,image/jpeg,,,
coll234,lifta_308.jpg,lifta_308.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797597,35.196439,,231,Image;StillImage,image/jpeg,,,
coll235,lifta_309.jpg,lifta_309.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797122,35.196397,,232,Image;StillImage,image/jpeg,,,
coll236,lifta_31.jpg,lifta_31.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.798203,35.196756,,233,Image;StillImage,image/jpeg,,,
coll237,lifta_310.jpg,lifta_310.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797378,35.196256,,234,Image;StillImage,image/jpeg,,,
coll238,lifta_311.jpg,lifta_311.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797444,35.196183,,235,Image;StillImage,image/jpeg,,,
coll239,lifta_312.jpg,lifta_312.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.792708,35.197933,,236,Image;StillImage,image/jpeg,,,
coll241,lifta_32.jpg,lifta_32.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.798022,35.196517,,238,Image;StillImage,image/jpeg,,,
coll242,lifta_33.jpg,lifta_33.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.798017,35.196444,,239,Image;StillImage,image/jpeg,,,
coll243,lifta_34.jpg,lifta_34.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797919,35.196428,,240,Image;StillImage,image/jpeg,,,
coll244,lifta_35.jpg,lifta_35.jpg,Jeff O'Brien,2017,,,"Lifta, Palestine",31.797986,35.196361,,241,Image;StillImage,image/jpeg,,,
